schemaVersion,recordType,source_name,source_url,entityName,employeeCount,collectedAt
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/omgpop,Omgpop,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/newfront-insurance,Newfront Insurance,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/north,North,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/nowports,Nowports,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/odeko,Odeko,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/gitprime,Gitprime,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/proxy,Proxy,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/futureadvisor,Futureadvisor,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/podium,Podium,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/rappi,Rappi,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/razorpay,Razorpay,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/rippling,Rippling,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/scale-ai,Scale Ai,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/scentbird,Scentbird,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/scribd,Scribd,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/shipbob,Shipbob,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/smartasset,Smartasset,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/stripe,Stripe,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/wave,Wave,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/webflow,Webflow,,2026-08-28T06:27:01.887983+00:00
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/whatnot,Whatnot,,2026-08-28T06:27:01.887983+00:00
